source	source_sha256	source_rows	output	transformation	output_sha256
profile_gwas_call90_maf10/inputs/primary_traits.tsv	aa04fe04ddbac247fac334646ef4c70fa5b09910d75e9e9d1268196860ecbe7a	6	main/Table1_primary_phenotypes.tsv	Keyed selection of six primary traits; preserve numeric precision; concise display labels	a74da3801a517e03e529b64ef33cf780f12260bbf743ea3c03bc8f6150aff9df
profile_phenotype_discovery/qa/phenotype_quality_rank.tsv	5bf03f4a9e9b043e47db0d0521276d1eb1fc6d011b6ebe8c408f4fa61177216c	106	main/Table1_primary_phenotypes.tsv	Keyed selection of six primary traits; preserve numeric precision; concise display labels	a74da3801a517e03e529b64ef33cf780f12260bbf743ea3c03bc8f6150aff9df
manuscript_readiness/provenance/primary_trait_reporting_labels.tsv	f57d0f5f192f3fec5450a04f06491cf932ae45d7d55d209d79111856ff667083	6	main/Table1_primary_phenotypes.tsv	Keyed selection of six primary traits; preserve numeric precision; concise display labels	a74da3801a517e03e529b64ef33cf780f12260bbf743ea3c03bc8f6150aff9df
profile_gwas_call90_maf10/inputs/primary_traits.tsv	aa04fe04ddbac247fac334646ef4c70fa5b09910d75e9e9d1268196860ecbe7a	6	main/Table2_GWAS_summary.tsv	Keyed selection of six primary traits; preserve numeric precision; concise display labels	ef15950c3cee63c7d04f407206f04aadf1cb19db62deb3936ece37a421c46479
profile_gwas_call90_maf10/results/gwas_summary.tsv	49bda79156de8ff39bdca6029ab858c121a0e228ffff1a8a9cc08dbfeb024475	36	main/Table2_GWAS_summary.tsv	Keyed selection of six primary traits; preserve numeric precision; concise display labels	ef15950c3cee63c7d04f407206f04aadf1cb19db62deb3936ece37a421c46479
manuscript_readiness/provenance/batch_inventory.tsv	24c03f89fca99db17d1e4bcfcadcc24faca4698e2b9fb74d7a4601a1875c9c26	30	supplementary/TableS1a_batch_inventory.tsv	Byte-for-byte copy; no filtering or rounding	24c03f89fca99db17d1e4bcfcadcc24faca4698e2b9fb74d7a4601a1875c9c26
profile_phenotype_discovery/qa/cohort_retention_by_line_batch.tsv	73b705d6d7170137092cc4a87e8d4711d7a67ed679ac3be0b78f001cb20218bd	286	supplementary/TableS1b_line_batch_retention.tsv	Byte-for-byte copy; no filtering or rounding	73b705d6d7170137092cc4a87e8d4711d7a67ed679ac3be0b78f001cb20218bd
manuscript_readiness/provenance/line_batch_monitor_design.tsv	eefc35c5aabeb7ecd66f1a6494e1c3b7208ba6e0e6dd3ecedf768d8624f4bf48	286	supplementary/TableS1c_monitor_design.tsv	Byte-for-byte copy; no filtering or rounding	eefc35c5aabeb7ecd66f1a6494e1c3b7208ba6e0e6dd3ecedf768d8624f4bf48
profile_phenotype_discovery/phenotype_dictionary.tsv	b0e3116e4c170a48d9806cfd6572cf2b78d2ab7dffdcb1cb26c6fb9723137648	106	supplementary/TableS2a_phenotype_dictionary.tsv	Byte-for-byte copy; no filtering or rounding	b0e3116e4c170a48d9806cfd6572cf2b78d2ab7dffdcb1cb26c6fb9723137648
profile_phenotype_discovery/qa/phenotype_quality_rank.tsv	5bf03f4a9e9b043e47db0d0521276d1eb1fc6d011b6ebe8c408f4fa61177216c	106	supplementary/TableS2b_phenotype_quality.tsv	Byte-for-byte copy; no filtering or rounding	5bf03f4a9e9b043e47db0d0521276d1eb1fc6d011b6ebe8c408f4fa61177216c
